"id","culture","culture_code","region","location","description","probability_sample","position","comment","created","modified","created_by_id"
84,"Bakairi","SP07","South America Amazon","Upper Xingu River","The Bakairi are horticultural riverine Indians. Slash-and-burn horticulture is practiced in subsistence gardens located in the gallery forests along the rivers.",1,"-15.5,-56.0","","2013-07-08 13:33:12.159171","2013-07-08 13:33:12.160741",1
85,"Guaraní","SM04","South America","Paraguay, Argentina, Brazil","The Guaraní have a diverse economy that provides abundant production. Although productive activities vary according to local environments, there are three primary activities. The primary productive activity of the Guaraní is gardening. Families plant small plots with manioc, corn, beans, sweet potato, and a variety of other foods. In forested area, gardeners shift plots every three years, building into rotational cycles that move households and communities. Foraging is a second important productive activity of the Guaraní. Gathering, fishing and hunting provide meat throughout the year, and supplement garden production between harvests. Third, the Guaraní gather forest products for sale.",1,"-26.0,-56.0","Tupian language","2013-07-08 13:33:12.178500","2013-07-08 13:33:12.180050",1
86,"Kogi","SC07","South America","Columbia","",1,"11.0,-73.0","","2013-07-08 13:33:12.216305","2013-07-08 13:33:12.217771",1
87,"Mataco","SI07","Southern South America","Argentina","",1,"-24.0,-60.0","","2013-07-08 13:33:12.293589","2013-07-08 13:33:12.295163",1
88,"Mundurucu","SQ13","South America Amazon","Brazil","",0,"-1.0,-56.5","","2013-07-08 13:33:12.349183","2013-07-08 13:33:12.350874",1
89,"Ndyuka","SR14","South America","French Guinea","",0,"4.0,-54.0","","2013-07-08 13:33:12.394179","2013-07-08 13:33:12.395824",1
90,"Ona","SH04","Southern South America","Argentina","",1,"54.5,-68.0","","2013-07-08 13:33:12.603163","2013-07-08 13:33:12.604700",1
91,"Saramaka","SR15","South America","Suriname","",1,"4.5,-56.0","","2013-07-08 13:33:12.662547","2013-07-08 13:33:12.664137",1
92,"Shipibo","SE26","South America Amazon","Peru","",0,"-8.5,-74.5","","2013-07-08 13:33:12.747491","2013-07-08 13:33:12.749101",1
93,"Tukano/Ticuna","SQ19","South America Amazon","Brazil","",1,"0.5,-70.0","","2013-07-08 13:33:12.773726","2013-07-08 13:33:12.775382",1
94,"Tupinamba","SO09","South America Amazon","Brazil","",0,"-5.0,-45.0","","2013-07-08 13:33:12.823642","2013-07-08 13:33:12.825223",1
95,"Warao","SS18","South America","Guyana","",0,"9.0,-61.0","","2013-07-08 13:33:12.852032","2013-07-08 13:33:12.853862",1
96,"Yahgan","SH06","Southern South America","Argentina","",0,"-56.0,-68.0","","2013-07-08 13:33:12.869702","2013-07-08 13:33:12.871394",1
97,"Gusii","FL08","East Africa","Kenya","",0,"-0.02,38.0","","2013-07-08 13:33:12.897163","2013-07-08 13:33:12.898669",1
98,"San","FX10","Southern Africa","Botswana,South Africa,Namibia","",0,"-22.3,24.7","","2013-07-08 13:33:12.914600","2013-07-08 13:33:12.916336",1
99,"Zulu","FX20","Southern Africa","South Africa","",0,"-28.5,30.9","","2013-07-08 13:33:12.986660","2013-07-08 13:33:12.988293",1
100,"Badaga","AW50","South Asia","India","",0,"21.6,79.0","","2013-07-08 13:33:13.030846","2013-07-08 13:33:13.032596",1
101,"Monguor","AE09","East Asia","China","",0,"35.9,104.2","","2013-07-08 13:33:13.077457","2013-07-08 13:33:13.079046",1
102,"Island Carib","ST13","Middle American, Carribbean","Dominica","",0,"15.4,-61.2","","2013-07-08 13:33:13.179067","2013-07-08 13:33:13.180645",1
103,"Iran","MA01","Middle East","Iran","",0,"32.4,53.7","","2013-07-08 13:33:13.195979","2013-07-08 13:33:13.197408",1
104,"Israelis","MF01","Middle East","Israel","",0,"31.0,34.9","","2013-07-08 13:33:13.240579","2013-07-08 13:33:13.242281",1
105,"Lur","MA12","Middle East","Iran","",0,"32.4,53.7","","2013-07-08 13:33:13.285300","2013-07-08 13:33:13.286863",1
106,"Aleut","NA06","North America-Arctic and subarctic","Untied States","",0,"67.0,-151.0","","2013-07-08 13:33:13.382112","2013-07-08 13:33:13.383579",1
107,"Alutiiq","NA10","North America-Arctic and subarctic","United States","",0,"67.0,-151.0","","2013-07-08 13:33:13.478927","2013-07-08 13:33:13.480729",1
108,"Manus","OM06","Oceania-Melanesia","Papua New Guinea","",0,"-6.31,144.0","","2013-07-08 13:33:13.532353","2013-07-08 13:33:13.533996",1
109,"Tongans","OU09","Oceania-Polynesia","Tonga","",0,"-21.2,-175.2","","2013-07-08 13:33:13.565302","2013-07-08 13:33:13.567011",1
110,"Yapese","OR22","Oceania-Micronesia","Federated States of Micronesia","",0,"7.4,151.0","","2013-07-08 13:33:13.667104","2013-07-08 13:33:13.668801",1
111,"Inka","SE13","South America--Andes","Andes","",0,"-12.554563528593656,-76.640625","","2013-07-08 13:33:13.702813","2013-07-26 00:17:52.362961",1
112,"Jivaro","SD09","South America Amazon","Ecuador, Peru","",0,"-6.8,-79.8","Shuar are Jivaroan people","2013-07-08 13:33:13.720823","2013-07-08 13:33:13.722476",1
113,"Amhara","MP05","East Africa","Ethiopia","",1,"11.35,37.98","","2013-07-08 13:33:13.926323","2013-07-08 13:33:13.927981",4
114,"Bemba","FQ05","Southern Africa","Northern Zambia","",1,"-12.0,31.0","","2013-07-08 13:33:13.961276","2013-07-08 13:33:13.962998",4
115,"Maasai","FL12","East Africa","Kenya, Tanzania","",1,"-1.1455180623721963,34.861104549999936","","2013-07-08 13:33:14.036570","2013-07-26 00:23:24.888659",4
116,"Kapauku","OJ29","Oceania-Melanesia","Papua New Guinea","",1,"-5.0925657,140.71109209999997","","2013-07-08 13:33:14.692469","2013-07-26 00:12:33.210363",4
117,"Abkhazians","RI03","Eurasia","Republic of Georgia","",0,"43.4,45.72","","2013-07-08 13:33:14.754164","2013-07-08 13:33:14.755684",4
118,"African Americans","NK04","North America","United States","",0,"38.53097889440024,-98.37158203125","","2013-07-08 13:33:14.798672","2013-07-25 09:51:54.711082",4
119,"Innu","NH06","North America","Canada (Labrador Island)","",0,"52.83293448129038,-59.97085662500001","","2013-07-08 13:33:14.879297","2013-07-26 00:17:10.862881",4
120,"Kaska","ND12","North America-Arctic and subarctic","Yukon Territory","",0,"64.2823274,-135","","2013-07-08 13:33:14.897337","2013-07-26 00:30:27.691423",4
121,"Cherokee","NN08","North America","United States (southern Appalachians)","The Cherokee are an Iroquoian-speaking people aboriginally occupying the southern Appalachians of North America. Western North Carolina was the heart of their farming/hunting lands but they also lived in portions of South Carolina, Georgia, Alabama, Tennessee, Kentucky, West Virginia, and Virginia. In 1838-1839 a major portion of the Cherokee were forcedly removed from their homeland by the United States government to the present state of Oklahoma along the infamous “Trail of Tears.” In the early twenty-first century there are two main groups of Cherokee--the Oklahoma Cherokee are the larger group and are known as the Cherokee Nation of Oklahoma and United Keetoowah Band; the Eastern Band is considerably smaller. Based on self-identification in the 2000 census, the Cherokee are the largest Native American group in the United States.

The Cherokee are Iroquoian-speaking people, and the Cherokee language is related to the languages spoken by the Mohawk, Seneca, Cayuga, Oneida, Onondaga, and Tuscarora. In early times, Cherokees were divided geographically and linguistically into Upper Towns, Lower Towns, and Middle Towns, with each speaking a different dialect of the language (Fitzgerald & Conley, 2002) The Atali, Elati, and Kituhwa dialects were spoken respectively in the Upper Towns, Lower Towns, and Middle Towns (Pritzker, 2000). In 1821, Sequoyah (George Guess), after twelve years, created a Cherokee syllabary, a writing system comprised of 85 characters representing all the sounds in the Cherokee language. The syllabary was widely accepted and allowed the Cherokee Nation to have a written constitution, a newspaper and become literate (Fitzgerald & Conley, 2002, Waldman, 1999).",0,"35.60371874069731,-80.859375","","2013-07-08 13:33:14.953573","2013-07-25 23:35:34.960693",4
122,"Creek","NN11","North America","United States (Georgia)","The Creek are a multiethnic American Indian nation living primarily in central Oklahoma, with a small remnant population in Alabama. The name ""Creek"" derives from the eighteenth century British usage ""Ocheesee Creek Indians,"" referring to those Creeks then resident on the Ocheesee (now Ocmulgee) River. They call themselves ""Muskogee"" or ""Muskoke,"" which is of foreign origin and unknown meaning. The tribal government prefers Mvskoke Creek in the twenty-first century. Important tribal divisions are referred to as the Lower and Upper Creeks, by British and American sources, or Coweta (Kawita), Cosa (Kusa), Talapusa, and Alabama by the Spanish and the people themselves.

The Creeks spoke several related languages of the Muskogean language family, mostly belonging to the Eastern Branch. Upper Creeks living on the Tallapoosa and Coosa rivers and a few Lower Creek towns spoke Muskogee proper, the dominant language of the Creek Confederacy.",0,"30.751277776257812,-82.96875","","2013-07-08 13:33:15.081771","2013-07-25 23:46:52.585286",4
123,"Mi'kmaq","NJ05","North America","Canada","",0,"48.76984789999999,-65.6900718","","2013-07-08 13:33:15.108267","2013-07-26 00:36:12.121409",4
124,"Nuu-chah-nulth","NE11","North America","United States, Canada","",0,"49.8253032,-125.61714840000002","","2013-07-08 13:33:15.143424","2013-07-26 00:56:00.673695",4
125,"Nuxalk","NE06","North America-Arctic and subarctic","Canada","",0,"52.372895,-126.76257599999997","","2013-07-08 13:33:15.187594","2013-07-26 00:54:18.183665",4
126,"Quinault","NR17","North America","Pacific Northwest","Historically, the Quinault were one of several tribes that lived on or near the Pacific coast in the state of Washington's Olympic Peninsula. These tribes engaged in an intertribal system of trade, marriage, feasting, and raiding, and spoke the Chinook jargon. The extinct Quinault language was in the Salishan family. Since their relocation to the Quinault Indian Reservation, the name Quinault is associated with all the Indians who live on the Reservation, regardless of their historical tribal affiliations. The contemporary Quinault have a common identity based on shared residency and the collective struggle for control over their natural resources. In 1975 the Quinault reorganized their government and ratified the Constitution of the Quinault Indian Nation. The Nation includes some of the descendents of the Quinault, Queets, Hoh, Quileute, Chehalis, Chinook, and the Cowlitz tribes.
Note: Select th",0,"47.9690682,-123.49825069999997","","2013-07-08 13:33:15.265599","2013-07-26 00:48:34.105517",4
127,"Yurok","NS31","North America","United States","The name “Yu-rok” is said to be derived from the language of their neighbors, the Karok, who referred to these people as “Yuruk,” meaning “downriver.” Later ethnologists referred to Yurok language as Weitspekan. It appears that the Yurok had no name for themselves, but rather used the names of their towns when matters of affiliation were concerned.

The ancestral home of the Yurok was on the northwest California Pacific coast, on the lower forty-five miles of the Klamath River. The remaining contemporary Yurok share the Hoopa Valley reservations in Humboldt and Klamath counties on this same part of the California coast with the Hupa. Persons of Yurok ancestry live throughout California, as well as in their ancestral territory.

The Yurok live on the northwest coast of California and on the lower Klamath River. Traditional subsistence was based on fishing, hunting, and gathering, with salmon being the most important food source. Yurok society was socially stratified into ""aristocrats"", ""commoners"", and the ""poor"". There were no chiefs or leaders, although a man could sometimes gain importance through great wealth. Villages, which had communal property and distinct boundaries, were the basic units for conducting ceremonies and warfare. Contemporary Yurok work for wages in a broad variety of service jobs or in the fishing and lumbering industries.",0,"41.31473288419187,-122.84566677499998","","2013-07-08 13:33:15.290659","2013-07-26 01:01:14.193616",4
128,"Comanche","NO06","North America","United States (southern Great Plains)","The Comanche were a loosely organized Native American group who, before their confinement to reservations, occupied the southern Great Plains grasslands across southeastern Colorado, eastern New Mexico, western Oklahoma, and western Texas. Their subsistence centered around bison hunting and the seasonal movements of the bison herds determined camp sizes and locations. The Comanche had large herds of horses and they used them for hunting, raiding, trade, and occasionally for food in difficult times. The headquarters of the Comanche Nation is in southwest Oklahoma, centered around Lawton. It is a center of community life for many Comanche who live both in the vicinity and in several U.S. cities.

The Comanches are an American Indian ethnic group of Shoshonean stock. In their native language Comanches call themselves ""Our People."" The name Comanche entered English from Spanish, derived from a Ute term signifying ""other."" The Siouan Padouca was applied by the French and the Americans to Comanches and Apaches in the 1700s and 1800s. Ietan, usually considered a derivative of Ute, also appears in French sources. Other names from neighboring tribes are recorded, many corresponding to the sign language designation ""snake."" The historical Comanches occupied the southern Great Plains grasslands across southeastern Colorado, eastern New Mexico, western Oklahoma, and western Texas. Some traveled widely beyond this range. In the year 2000 the tribal headquarters was north of Lawton, Oklahoma; tribal members lived in this vicinity and in several U.S. cities.

The Comanche language is in the Numic branch of the Uto-Aztecan family in the AztecTanoan phylum. Comanche and Shoshone are similar enough to be considered dialects of the same language; among Comanche bands there is dialectal variation.",0,"36.31512514748053,-103.0078125","","2013-07-08 13:33:15.320963","2013-07-25 23:51:37.843578",4
129,"Gros Ventre","NQ13","North America","United States (Great Lakes Region)","",0,"43.83452678223684,-85.517578125","","2013-07-08 13:33:15.466308","2013-07-25 23:56:49.805999",4
130,"Omaha","NQ21","North America","United States","",0,"42.082329423930254,-96.78169591250003","","2013-07-08 13:33:15.518236","2013-07-26 00:50:20.945154",4
131,"Stoney","NF12","North America","United States, Canada","The Stoney are often confused in the literature with the Assiniboine from whom they evolved. They became an independent people during the eighteenth century. The Stoney are Siouan-speaking and are located in the northwestern portion of the Plains/Prairie on five reserves in Alberta, Canada. Traditional economic pursuits were hunting, fishing, trapping, and gathering.",0,"53.9332706,-116.5765035","","2013-07-08 13:33:15.549289","2013-07-26 01:12:46.019482",4
132,"Amish ","NM06","North America","United States","",0,"39.842286020743394,-82.44140425","","2013-07-08 13:33:15.575753","2013-07-25 09:56:21.064005",4
133,"Arab Americans","NK09","North America","United States","",0,"None,None","","2013-07-08 13:33:15.648477","2013-07-08 13:33:15.650242",4
134,"Chinese Americans","NK06","North America","United States","",0,"None,None","","2013-07-08 13:33:15.670610","2013-07-08 13:33:15.672299",4
135,"Cuban Americans","NK08","North America","United States","",0,"None,None","","2013-07-08 13:33:15.811223","2013-07-08 13:33:15.812945",4
136,"North American Hasidic Jews","N011","North America","United States, Canada","",0,"None,None","","2013-07-08 13:33:15.842928","2013-07-08 13:33:15.844712",4
137,"Sea Islanders","NN23","North America","United States","Gullah-speaking people who live off the coast of Georgia and South Carolina.",0,"31.642016871606863,-81.10423194375","","2013-07-08 13:33:15.860663","2013-07-26 00:47:08.224143",4
138,"Eastern Apache","NT08","North America","United States (Southwest)","The Chiricahua Apache are an Athapskan-speaking Native American group who may have originally migrated to the Southwest from western Canada sometime between the thirteenth and sixteenth centuries. They are presently located in southeastern Arizona, southwestern New Mexico, and northern Mexico. The Chiricahua call themselves de Apache  , “man” or “person”. The Apachean culture, of which they are part, also includes Jicarilla, Kiowa-Apache, Lipan, Mescalero, Western Apache, and Navajo. The name “Chiricahua” is derived from the Chiricahua Mountains in their former territory in southeastern Arizona",0,"32.24997445586331,-110.0390625","","2013-07-08 13:33:15.927572","2013-07-25 23:42:16.422972",4
139,"Havasupai","NT14","North America","United States (Northwestern Arizona)","",0,"35.60371874069731,-113.73046875","","2013-07-08 13:33:15.954192","2013-07-26 00:19:43.910365",4
140,"Northern Paiute","NR13","North America","United States","Traditionally the Northern Paiute were located in the Great Basin region in western Nevada, northeastern California, southwestern Idaho, and central and eastern Oregon, but as of the late twentieth century are now found primarily around Tama, Idaho.

The Northern Paiute language belongs to the widespread Uto-Aztecan family. It is more closely related to other languages in the Great Basin that together form the Numic branch of the family, and most closely to Owens Valley Paiute, the other language member of the Western Numic subbranch. The Owens Valley Paiute are close enough culturally to be included in this sketch, although linguistically they are part of a single language with the Monache (the language referred to as Mono). The Bannock of Idaho also speak Northern Paiute. Native language fluency over much of the region is now diminished, although some communities have attempted language salvage programs.",0,"None,None","","2013-07-08 13:33:16.065590","2013-07-08 13:33:16.067053",4
141,"O'odham","NU79","North America","United States, Mexico","",0,"32.820426576052114,-111.53318422500001","","2013-07-08 13:33:16.207145","2013-07-26 00:52:05.735071",4
142,"Ute","NT19","North America","United States","",0,"39.82906595875715,-109.07224672500001","","2013-07-08 13:33:16.225151","2013-07-26 01:09:32.156058",4
143,"Zia Pueblo","NT38","North America","North America --Southwest and Basin","",0,"35.74186131342297,-106.44137916249997","","2013-07-08 13:33:16.260345","2013-07-26 01:00:20.621700",4
144,"Zuni","NT23","North America","United States","",0,"None,None","","2013-07-08 13:33:16.277653","2013-07-08 13:33:16.279326",4
145,"Barundi","FO58","Central Africa","Republic of Barundi","",0,"-3.373056,29.918886","","2013-07-08 13:33:16.335537","2013-07-08 13:33:16.337041",4
146,"Mongo","FO32","Central Africa","Demogratic Republic of the Congo","According to the historian Samuel Nelson, “the appellation “Mongo” is a relatively recent social identity that is more often utilized by outsiders than it is by the residents of the basin who generally continue to identify and think of themselves in more localized terms (Nelson 1994: 18). Anthropologists divide these localized identities into the following three:  1) northern Mongo (further divided into Balolo, Bamongo, Bomongo, Mbongo, and Lolo); 2) central Mongo (consisting of Nkundu, Mbole, Bosaka); and 3) southern Mongo (mainly the Ekonda and Kutshu). This culture summary focuses mostly on the Nkundu (central Mongo), Boyela (northern Mongo), and Ntomba and Ekonda (southern Mongo). Mongo-speaking ethnic minorities such as the Twa are excluded",0,"-4.038333,21.758663999999953","","2013-07-08 13:33:16.370928","2013-07-26 00:34:22.115695",4
147,"Rwandans","F057","Central Africa","Rwanda","The Rwandan culture has its roots in the precolonial kingdom of Rwanda and encompasses both the population of the modern state of Rwanda and speakers of the Kinyarwanda language in the neighboring Congo and Uganda. The Burundi culture is closely related to the Rwandan culture and shares many elements with it. Rwanda is a small landlocked country in the Great Lakes Region of East Africa that has a mountainous terrain and a temperate climate.",0,"-1.940278,29.873888","Similar to Burundi culture","2013-07-08 13:33:16.393431","2013-07-08 13:33:16.395160",4
148,"Chagga","FN04","East Africa","Northern Tanzania","The Chagga are a Bantu-speaking people living on the slopes of Mt. Kilimanjaro in Tanzania. In the nineteenth century, the Chagga were cultivators and cattle keepers. They underwent significant changes in the colonial and postcolonial periods with expanding coffee production, land shortage and the inflow of wages and salaries from migrants and employees. In traditional Chagga society, localized patrilineages formed the subunits within a district, and several districts formed autonomous chiefdoms. The chiefs often warred with each other for revenge, plunder and conquest. After Tanzania won its independence in 1961, the system of chiefdoms was abolished.",0,"-4.13,37.81","","2013-07-08 13:33:16.539462","2013-07-08 13:33:16.541156",4
149,"Gikuyu","FL10","East Africa","Central Kenya","The Gikuyu are a Bantu-speaking people living in central Kenya. Pre-colonial Gikuyu were hunters and gatherers who adopted cultivation over time. Organized along lineages, clans and age-grades, traditional Gikuyu society was politically decentralized. The oldest males of kin groups and/or councils of residential communities were responsible for administering land and other political issues",0,"-1.406109,37.617188","","2013-07-08 13:33:16.675244","2013-07-08 13:33:16.676947",4
150,"Luo","FL11","East Africa","Kenya, Tanzania","",0,"-0.087891,34.749756","Joluo","2013-07-08 13:33:16.722842","2013-07-08 13:33:16.724551",4
151,"Nyakyusa-Ngonde","FN17","East Africa","Southwestern Tanzania","The Nyakyusa of southwestern Tanzania have been ethnographically studied since 1934 and are known from missionary and traveler's records since the beginning of European contact with the East African interior in the 1870s. The Nyakyusa are especially noted for their system of “age villages,” a residential segregation of generations in adjoining communities, and both the Nyakyusa and the Ngonde, a closely related people of northern Malawi, are known for the “divine” powers of their former chiefs.",0,"-9.340672,33.969727","Ngonde","2013-07-08 13:33:17.028660","2013-07-08 13:33:17.030440",4
152,"Tanala","FY08","Southern Africa--Madagascar","Madagascar","The Tanala are one of ""over 18 ethnic groups"" inhabiting the Republic of Madagascar, an island nation located off the eastern coast of southern Africa. They live in the southeastern part of the country on a rugged terrain that stretches from low-lying grasslands in the south to high plateaus in the north. The name ""Tanala"", according to Ralph Linton, simply means ""people of the forest."" It is broadly applied to all the inhabitants of Tanala territory irrespective of their actual ethnic origin and political affiliation. To this effect, Linton (1933:24) argues that ""[t]here has never been a Tanala tribe"" [in the sense of a socially or politically integrated group]. Instead, the group originated from ""a more or less accidental agglomeration of groups of diverse origin"" who obtained this identity when settling in this territory at different times (Linton, 1933:25). This summary is largely based on Ralph Linton's fieldwork in 1926-1927.",0,"-18.77,46.87","The Tanala speak the Tanala dialect of Plateau Malagasy which belongs to the Malayo-Polynesian branch of Austronesian languages.","2013-07-08 13:33:17.167518","2013-07-08 13:33:17.169323",4
153,"Tsonga","FT06","Southern Africa","Mozambique, South Africa","",0,"-24.27,32.3","Tsonga neighbors of Lovedu","2013-07-08 13:33:17.185381","2013-07-08 13:33:17.186962",4
154,"Kpelle","FD06","West Africa","Liberia","The Kpelle are the largest ethnic group in the West African nation of Liberia and a significant group in neighboring Guinea. Whereas the Kpelle of Guinea (called ""French Kpelle"" by Liberians) are poorly described, the Liberian Kpelle have been more thoroughly studied. They are arguably the most rural and conservative of the major Liberian peoples.",0,"6.428055,-9.429499","Language: Mande branch of Niger Congo family","2013-07-08 13:33:17.259437","2013-07-08 13:33:17.261252",4
155,"Mende","FC07","West Africa","Sierra Leone","",0,"8.460555,-11.779889","Language: Mande brack of Niger-Congo family","2013-07-08 13:33:17.282880","2013-07-08 13:33:17.284743",4
156,"Mosi","FA28","West Africa","Burkina Faso","The Mossi are the most prominent ethnic group in the modern nation of Burkina Faso (formerly Upper Volta). They are also well known in the anthropological literature as a society with an especially high rate of labor migration to neighboring countries. They are noted historically for their resistance to the regionally dominant Islamic states and missionaries, although their culture shows numerous Islamic influences.",0,"12.2,-2.0","Moshi","2013-07-08 13:33:17.301588","2013-07-08 13:33:17.303221",4
157,"Tallensi","FE11","West Africa","Ghana","The Tallensi are a group of sedentary farmers living in widely scattered compounds in northern Ghana.  They constitute a homogenous group both culturally and linguistically, but do not show strong political unity as an ethnic group in the sense ethnicity is commonly manifested and experienced. A majority of the Tallensi live in the basin of the Volota River in northern Ghana. But they have no fixed territorial boundaries, nor are they precisely marked off from neighboring groups by cultural or linguistic usages.  Tallensi culture is especially similar with that of neighboring Namnam and Nankanse. To this effect, an anthropologist who surveyed the area in the 1930s doubted whether it was necessary to deal with the Tallensi as an ethnic group distinct from these two neighboring groups (Rattray, 1932: 339). ",0,"9.709057,-1.318359","Language: Gur branch of the Niger-Congo family","2013-07-08 13:33:17.415056","2013-07-08 13:33:17.416726",4
158,"Yoruba","FF62","West Africa","Nigeria, Benin, Togo","",0,"8.0,2.5","Benue-Congo brach of Niger-Congo language family","2013-07-08 13:33:17.449814","2013-07-08 13:33:17.451641",4
159,"Inner Mongolia","AH06","Central Asia","Mongolia","",0,"43.036776,113.554688","There are the Barga, Khiangan, Juu Ud, Khorchin or Jirem, Chakhar, Shiliingol, Alshaa, Ordos, Tumed, Daurs, and a small community of Buriat Mongols.","2013-07-08 13:33:17.582247","2013-07-08 13:33:17.583848",4
160,"Outer Mongolia","AH01","Central Asia","Mongolia","",0,"46.862496,103.846656","Mongols, primarily Khalkha Mongols, constitute the majority of the population of Mongolia.","2013-07-08 13:33:17.612836","2013-07-08 13:33:17.614510",4
161,"Tibetans","AJ01","East Asia","Tibet","",0,"29.646923,91.117212","","2013-07-08 13:33:17.644387","2013-07-08 13:33:17.646052",4
162,"Ainu","AB06","East Asia","Japan","",0,"38.34,140.58","","2013-07-08 13:33:17.735120","2013-07-08 13:33:17.736866",4
163,"Manchu","AG04","East Asia","China","",0,"41.835441,123.42944","","2013-07-08 13:33:17.859754","2013-07-08 13:33:17.861522",4
164,"Miao","AE05","East Asia","China","The various Miao groups are for the most part an unstratified agricultural people found in the uplands of several provinces of China and related to the Hmong of Southeast Asia. They are distinguished by language, dress, historical traditions, and cultural practice from neighboring ethnic groups and the dominant Han Chinese. They are not culturally homogeneous and the differences between local Miao cultures are often as great as between Miao and non-Miao neighbors. The term ""Miao"" is Chinese, and means ""weeds"" or ""sprouts."" Chinese minority policies since the 1950s treat these diverse groups as a single nationality and associate them with the San Miao Kingdom of central China mentioned in histories of the Han dynasty (200 BC-AD 200).

About half of China's Miao are located in Guizhou Province. Another 34 percent are evenly divided between Yunnan Province and western Hunan Province. The remainder are mainly found in Sichuan and Guangxi, with a small number in Guangdong and Hainan. Some of the latter may have been resettled there during the Qing dynasty. The wide dispersion makes it difficult to generalize about ecological settings. Miao settlements are found anywhere from a few hundred meters above sea level to elevations of 1,400 meters or more.  The largest number are uplands people, often living at elevations over 1,200 meters and located at some distance from urban centers or the lowlands and river valleys where the Han are concentrated. Often, these upland villages and hamlets are interspersed with those of other minorities such as Yao, Dong, Zhuang, Yi, Hui, and Bouyei. Most live in the fourteen autonomous prefectures and counties designated as Miao or part-Miao. Among the largest of these are the Qiandongnan Miao-Dong Autonomous Prefecture and Qiannan Bouyei-Miao Autonomous Prefecture established in Guizhou in 1956, the Wenshan Zhuang-Miao Autonomous Prefecture of Yunnan established in 1958, and the Chengbu Miao Autonomous Country in Hunan organized in 1956. In addition, there are Miao present in at least ten other autonomous units where they are a minority among the minorities. Some Miao villages are within minzuxiang   (minority townships), in areas that have a high concentration of minority peoples but not autonomous status, as is the case in Zhaotong Prefecture in northeastern Yunnan.",0,"26.598194,106.70741","They are not culturally homogeneous and the differences between local Miao cultures are often as great as between Miao and non-Miao neighbors.","2013-07-08 13:33:17.992989","2013-07-08 13:33:17.994731",4
165,"Okayama","AB43","East Asia","Japan","",0,"34.6551456,133.9195019","No cultural description","2013-07-08 13:33:18.020262","2013-07-26 00:50:46.493181",4
166,"Yi","AE04","East Asia","China","The Yi are one of the largest minority groups in China. They are uplands farmers and pastoralists. Most live in Sichuan and Yunnan provinces, in the areas of the Greater and Lesser Liangshan mountain ranges, at elevations ranging from 2,000 meters to 3,000 or 3,500 meters above sea level. The main areas of settlement lie south of the Dadu River and along the Anning River. Altitude and access to water varies, making for differences in economic activities in various areas.

The Yi languages belong to the Tibeto-Burman branch of Sino-Tibetan. There are six distinct dialects. The Yi have a syllabic script developed in the thirteenth century or earlier, which has been replaced with a reformed writing system in recent times.

The Yi share common ancestry with other ethnic groups such as the Bai, Naxi, Lahu, and Lisu of Yunnan, and seem also to be related to the Di and Qiang peoples of western Sichuan. Between the second century BC. and the early Christian era, the forerunners of the Yi made their appearance in the areas of Dianchi (present-day Kunming) in Yunnan and Chengdu in Sichuan.",0,"30.651652,104.075931","","2013-07-08 13:33:18.131389","2013-07-08 13:33:18.133133",4
167,"Nivkh","RX02","Northeast Asia","Russia","",0,"51.0,143.0","","2013-07-08 13:33:18.238597","2013-07-08 13:33:18.240151",4
168,"Bhil","AW25","South Asia","India","",0,"21.983333,74.866667","","2013-07-08 13:33:18.434344","2013-07-08 13:33:18.436069",4
169,"Burusho","AV07","South Asia","Pakistan","",0,"36.316647,74.651978","","2013-07-08 13:33:18.491351","2013-07-08 13:33:18.492990",4
170,"Gond","AW32","South Asia","India","Originally hunters and gatherers, they became primarily agriculturalists in the twentieth century, first shifting horticulturalists and then mostly intensive agriculturalists.",0,"19.08799,82.026607","","2013-07-08 13:33:18.509285","2013-07-08 13:33:18.510950",4
171,"Tamil","AW16","South Asia","Asia","",0,"11.127123,78.656894","","2013-07-08 13:33:19.163216","2013-07-08 13:33:19.164867",4
172,"Toda","AW60","South Asia","India","",0,"11.127123,78.656894","","2013-07-08 13:33:19.289191","2013-07-08 13:33:19.291179",4
173,"Vedda","AX05","South Asia","Sri Lanka","",0,"7.0,80.0","","2013-07-08 13:33:19.360222","2013-07-08 13:33:19.361831",4
174,"Balinese","OF07","Southeast Asia","Indonesia","",0,"-8.409518,115.188916","","2013-07-08 13:33:19.405604","2013-07-08 13:33:19.407356",4
175,"Burmans","AP04","Southeast Asia","Burma","",0,"21.913965,95.956223","","2013-07-08 13:33:19.584751","2013-07-08 13:33:19.586415",4
176,"Cambodians","AM04","Southeast Asia","Cambodia","",0,"12.565679,104.990963","","2013-07-08 13:33:19.602469","2013-07-08 13:33:19.604000",4
177,"Javanese","OE05","Southeast Asia","Indonesia","",0,"-7.614529,110.712247","","2013-07-08 13:33:19.655226","2013-07-08 13:33:19.656843",4
178,"Karen","AP07","Southeast Asia","Myanmar, Thailand","",0,"21.474252,96.672962","","2013-07-08 13:33:19.694621","2013-07-08 13:33:19.696171",4
179,"Malays","AN05","Southeast Asia","Malaysia, Indonesia","",0,"4.210484,101.975766","","2013-07-08 13:33:19.758600","2013-07-08 13:33:19.760304",4
180,"Semai","AN06","Southeast Asia","Malaysia","",0,"3.974341,102.438058","","2013-07-08 13:33:19.790379","2013-07-08 13:33:19.792150",4
181,"Vietnamese","AM11","Southeast Asia","Vietnam","",0,"14.058324,14.058324","","2013-07-08 13:33:19.902215","2013-07-08 13:33:19.903902",4
